Date;O3;O3v;T12;T15;Vx;vent
19960422;63.6;95.6;13.4;15;9.35;EST
19960429;89.6;100.2;15;15.7;5.4;NORD
19960506;79;105.6;7.9;10.1;19.3;EST
19960514;81.2;95.2;13.1;11.7;12.6;NORD
19960521;88;82.8;14.1;16;-20.3;OUEST
19960528;68.4;71.4;16.7;18.1;-3.69;SUD
19960605;139;90;26.8;28.2;8.27;EST
19960612;78.2;60;18.4;20.7;4.93;NORD
19960619;113.8;125.8;27.2;27.7;-4.93;SUD
19960627;41.8;62.6;20.6;19.7;-3.38;OUEST
19960704;65;38;21;21.1;-23.68;OUEST
19960711;73;70.8;17.4;22.8;-6.24;OUEST
19960719;126.2;119.8;26.9;29.5;14.18;EST
19960726;127.8;103.6;25.5;27.8;13.79;EST
19960802;61.6;69.2;19.4;21.5;-7.39;NORD
19960810;63.6;48;20.8;21.4;-13.79;OUEST
19960817;134.2;118.6;29.5;30.6;1.88;SUD
19960824;67.2;60;21.7;20.3;-24.82;OUEST
19960901;87.8;74.4;19.7;21.7;9.35;EST
19960908;96.8;103.8;19;21;28.36;EST
19960915;89.6;78.8;20.7;22.9;12.47;EST
19960923;66.4;72.2;18;18.5;-5.52;OUEST
19960930;60;53.4;17.4;16.4;-10.8;SUD
19970414;90.8;89;16.3;18.1;18;EST
19970422;104.2;97.8;13.6;14.4;3.55;EST
19970429;70;61.4;15.8;16.7;-12.6;NORD
19970708;96.2;87.4;26;27.3;16.91;EST
19970715;65.6;67.8;23.5;23.7;-9.35;OUEST
19970722;109.2;98.6;26.3;27.3;16.91;EST
19970730;86.2;112;21.8;23.6;2.5;NORD
19970806;87.4;49.8;24.8;26.6;-7.09;OUEST
19970813;84;131.8;25.2;27.5;-10.15;OUEST
19970821;83;113.8;24.6;27.9;-5.52;OUEST
19970828;59.6;55.8;16.8;19;-27.06;OUEST
19970904;52;65.8;17.1;18.3;-3.13;NORD
19970912;73.8;90.4;18;18.3;-11.57;SUD
19970919;129;111.4;28.9;30;8.27;EST
19970926;122.4;118.6;23.4;25.4;5.52;EST
19980504;106.6;84;13;14.3;12.6;NORD
19980511;121.8;109.8;26;28;2.5;SUD
19980518;116.2;142.8;24.9;25.8;18;EST
19980526;81.4;80.8;18.4;16.8;-14.4;OUEST
19980602;88.6;60.4;18.7;19.6;-15.59;OUEST
19980609;63;79.8;20.4;16.6;-22.06;OUEST
19980617;104;84.6;19.6;21.2;-10.8;OUEST
19980624;88.4;92.6;23.2;23.9;-7.2;SUD
19980701;83.8;40.2;19.8;20.3;17.73;EST
19980709;56.4;73.6;18.9;19.3;-14.4;OUEST
19980716;50.4;59;19.7;19.3;-17.73;OUEST
19980724;79.2;55.2;21.1;21.9;9.26;NORD
